mois,dep,estim_rsa,rsa
2017-06-01,2A,0,2500
2017-06-01,2B,0,3860
2017-06-01,21,0,9410
2017-06-01,22,0,10660
2017-06-01,23,0,2720
2017-06-01,24,0,10500
2017-06-01,25,0,12220
2017-06-01,26,0,12150
2017-06-01,27,0,13240
2017-06-01,28,0,8310
2017-06-01,29,0,17260
2017-06-01,30,0,30700
2017-06-01,31,0,36560
2017-06-01,32,0,3890
2017-06-01,33,0,41400
2017-06-01,34,0,40360
2017-06-01,35,0,17070
2017-06-01,36,0,4970
2017-06-01,37,0,13740
2017-06-01,38,0,24330
2017-06-01,39,0,3780
2017-06-01,40,0,7840
2017-06-01,41,0,7120
2017-06-01,42,0,16900
2017-06-01,43,0,3180
2017-06-01,44,0,28940
2017-06-01,45,0,15000
2017-06-01,46,0,3680
2017-06-01,47,0,9610
2017-06-01,48,0,1210
2017-06-01,49,0,15850
2017-06-01,50,0,7800
2017-06-01,51,0,14000
2017-06-01,52,0,4390
2017-06-01,53,0,3720
2017-06-01,54,0,22590
2017-06-01,55,0,5170
2017-06-01,56,0,13800
2017-06-01,57,0,27630
2017-06-01,58,0,5770
2017-06-01,59,0,112340
2017-06-01,60,0,19360
2017-06-01,61,0,7190
2017-06-01,62,0,56800
2017-06-01,63,0,15510
2017-06-01,64,0,14710
2017-06-01,65,0,5520
2017-06-01,66,0,21810
2017-06-01,67,0,27360
2017-06-01,68,0,16300
2017-06-01,69,0,45600
2017-06-01,70,0,4620
2017-06-01,71,0,10240
2017-06-01,72,0,11370
2017-06-01,73,0,5540
2017-06-01,74,0,8080
2017-06-01,75,0,63570
2017-06-01,76,0,41210
2017-06-01,77,0,28830
2017-06-01,78,0,21870
2017-06-01,79,0,6890
2017-06-01,80,0,18510
2017-06-01,81,0,10510
2017-06-01,82,0,6670
2017-06-01,83,0,31420
2017-06-01,84,0,16950
2017-06-01,85,0,7770
2017-06-01,86,0,12070
2017-06-01,87,0,9530
2017-06-01,88,0,10980
2017-06-01,89,0,9070
2017-06-01,90,0,4390
2017-06-01,91,0,25990
2017-06-01,92,0,30430
2017-06-01,93,0,82540
2017-06-01,94,0,40560
2017-06-01,95,0,32550
2017-06-01,971,0,44750
2017-06-01,972,0,35790
2017-06-01,973,0,22510
2017-06-01,974,0,94650
2017-06-01,976,0,6130
2017-07-01,01,0,7500
2017-07-01,02,0,17460
2017-07-01,03,0,9570
2017-07-01,04,0,4290
2017-07-01,05,0,2860
2017-07-01,06,0,24500
2017-07-01,07,0,6480
2017-07-01,08,0,10590
2017-07-01,09,0,6010
2017-07-01,10,0,9630
2017-07-01,11,0,16830
2017-07-01,12,0,4100
2017-07-01,13,0,78240
2017-07-01,14,0,14770
2017-07-01,15,0,2130
2017-07-01,16,0,10350
2017-07-01,17,0,16090
2017-07-01,18,0,9430
2017-07-01,19,0,3280
2017-07-01,2A,0,2450
2017-07-01,2B,0,3790
2017-07-01,21,0,9420
2017-07-01,22,0,10590
2017-07-01,23,0,2690
2017-07-01,24,0,10450
2017-07-01,25,0,12150
2017-07-01,26,0,12000
2017-07-01,27,0,13080
2017-07-01,28,0,8270
2017-07-01,29,0,17180
2017-07-01,30,0,30470
2017-07-01,31,0,36490
2017-07-01,32,0,3870
2017-07-01,33,0,41190
2017-07-01,34,0,40070
2017-07-01,35,0,16840
2017-07-01,36,0,4930
2017-07-01,37,0,13610
2017-07-01,38,0,24160
2017-07-01,39,0,3730
2017-07-01,40,0,7720
2017-07-01,41,0,7060
2017-07-01,42,0,16840
2017-07-01,43,0,3180
2017-07-01,44,0,28800
2017-07-01,45,0,14990
2017-07-01,46,0,3670
2017-07-01,47,0,9560
2017-07-01,48,0,1190
2017-07-01,49,0,15710
2017-07-01,50,0,7690
2017-07-01,51,0,13960
2017-07-01,52,0,4370
2017-07-01,53,0,3720
2017-07-01,54,0,22530
2017-07-01,55,0,5090
2017-07-01,56,0,13710
2017-07-01,57,0,27590
2017-07-01,58,0,5750
2017-07-01,59,0,112060
2017-07-01,60,0,19260
2017-07-01,61,0,7130
2017-07-01,62,0,56530
2017-07-01,63,0,15360
2017-07-01,64,0,14620
2017-07-01,65,0,5500
2017-07-01,66,0,21640
2017-07-01,67,0,27240
2017-07-01,68,0,16150
2017-07-01,69,0,45420
2017-07-01,70,0,4560
2017-07-01,71,0,10230
2017-07-01,72,0,11250
2017-07-01,73,0,5530
2017-07-01,74,0,8000
2017-07-01,75,0,63280
2017-07-01,76,0,41020
2017-07-01,77,0,28740
2017-07-01,78,0,21800
2017-07-01,79,0,6890
2017-07-01,80,0,18490
2017-07-01,81,0,10440
2017-07-01,82,0,6630
2017-07-01,83,0,31220
2017-07-01,84,0,16820
2017-07-01,85,0,7620
2017-07-01,86,0,12040
2017-07-01,87,0,9520
2017-07-01,88,0,10930
2017-07-01,89,0,9070
2017-07-01,90,0,4340
2017-07-01,91,0,25930
2017-07-01,92,0,30340
2017-07-01,93,0,82360
2017-07-01,94,0,40530
2017-07-01,95,0,32480
2017-07-01,971,0,44630
2017-07-01,972,0,35800
2017-07-01,973,0,22550
2017-07-01,974,0,94480
2017-07-01,976,0,6090
2017-08-01,01,0,7490
2017-08-01,02,0,17360
2017-08-01,03,0,9520
2017-08-01,04,0,4280
2017-08-01,05,0,2840
2017-08-01,06,0,24000
2017-08-01,07,0,6400
2017-08-01,08,0,10570
2017-08-01,09,0,5940
2017-08-01,10,0,9570
2017-08-01,11,0,16680
2017-08-01,12,0,4050
2017-08-01,13,0,77790
2017-08-01,14,0,14680
2017-08-01,15,0,2120
2017-08-01,16,0,10340
2017-08-01,17,0,15920
2017-08-01,18,0,9360
2017-08-01,19,0,3240
2017-08-01,2A,0,2400
2017-08-01,2B,0,3750
2017-08-01,21,0,9340
2017-08-01,22,0,10530
2017-08-01,23,0,2660
2017-08-01,24,0,10350
2017-08-01,25,0,12050
2017-08-01,26,0,11810
2017-08-01,27,0,13040
2017-08-01,28,0,8200
2017-08-01,29,0,17060
2017-08-01,30,0,30320
2017-08-01,31,0,36250
2017-08-01,32,0,3820
2017-08-01,33,0,40970
2017-08-01,34,0,39800
2017-08-01,35,0,16660
2017-08-01,36,0,4920
2017-08-01,37,0,13530
2017-08-01,38,0,24000
2017-08-01,39,0,3680
2017-08-01,40,0,7590
2017-08-01,41,0,6990
2017-08-01,42,0,16740
2017-08-01,43,0,3160
2017-08-01,44,0,28850
2017-08-01,45,0,14920
2017-08-01,46,0,3650
2017-08-01,47,0,9550
2017-08-01,48,0,1210
2017-08-01,49,0,15660
2017-08-01,50,0,7640
2017-08-01,51,0,13880
2017-08-01,52,0,4350
2017-08-01,53,0,3690
2017-08-01,54,0,22360
2017-08-01,55,0,5070
2017-08-01,56,0,13620
2017-08-01,57,0,27450
2017-08-01,58,0,5700
2017-08-01,59,0,111680
2017-08-01,60,0,19240
2017-08-01,61,0,7070
2017-08-01,62,0,56230
2017-08-01,63,0,15330
2017-08-01,64,0,14520
2017-08-01,65,0,5490
2017-08-01,66,0,21470
2017-08-01,67,0,27040
2017-08-01,68,0,16000
2017-08-01,69,0,45220
2017-08-01,70,0,4520
2017-08-01,71,0,10160
2017-08-01,72,0,11140
2017-08-01,73,0,5500
2017-08-01,74,0,7910
2017-08-01,75,0,62960
2017-08-01,76,0,40960
2017-08-01,77,0,28560
2017-08-01,78,0,21760
2017-08-01,79,0,6860
2017-08-01,80,0,18430
2017-08-01,81,0,10390
2017-08-01,82,0,6550
2017-08-01,83,0,30980
2017-08-01,84,0,16770
2017-08-01,85,0,7510
2017-08-01,86,0,12010
2017-08-01,87,0,9490
2017-08-01,88,0,10890
2017-08-01,89,0,9050
2017-08-01,90,0,4300
2017-08-01,91,0,25950
2017-08-01,92,0,30290
2017-08-01,93,0,82270
2017-08-01,94,0,40400
2017-08-01,95,0,32400
2017-08-01,971,0,44460
2017-08-01,972,0,35800
2017-08-01,973,0,22520
2017-08-01,974,0,94680
2017-08-01,976,0,6050
2017-09-01,01,0,7490
2017-09-01,02,0,17310
2017-09-01,03,0,9530
2017-09-01,04,0,4250
2017-09-01,05,0,2820
2017-09-01,06,0,23780
2017-09-01,07,0,6340
2017-09-01,08,0,10530
2017-09-01,09,0,5970
2017-09-01,10,0,9520
2017-09-01,11,0,16620
2017-09-01,12,0,4020
2017-09-01,13,0,77790
2017-09-01,14,0,14700
2017-09-01,15,0,2160
2017-09-01,16,0,10390
2017-09-01,17,0,15940
2017-09-01,18,0,9350
2017-09-01,19,0,3210
2017-09-01,2A,0,2390
2017-09-01,2B,0,3750
2017-09-01,21,0,9420
2017-09-01,22,0,10580
2017-09-01,23,0,2640
2017-09-01,24,0,10330
2017-09-01,25,0,11970
2017-09-01,26,0,11750
2017-09-01,27,0,13040
2017-09-01,28,0,8120
2017-09-01,29,0,16990
2017-09-01,30,0,30260
2017-09-01,31,0,36480
2017-09-01,32,0,3820
2017-09-01,33,0,40860
2017-09-01,34,0,39550
2017-09-01,35,0,16700
2017-09-01,36,0,4900
2017-09-01,37,0,13450
2017-09-01,38,0,23970
2017-09-01,39,0,3650
2017-09-01,40,0,7570
2017-09-01,41,0,6920
2017-09-01,42,0,16730
2017-09-01,43,0,3180
2017-09-01,44,0,28960
2017-09-01,45,0,14980
2017-09-01,46,0,3620
2017-09-01,47,0,9530
2017-09-01,48,0,1180
2017-09-01,49,0,15590
2017-09-01,50,0,7560
2017-09-01,51,0,13780
2017-09-01,52,0,4310
2017-09-01,53,0,3700
2017-09-01,54,0,22380
2017-09-01,55,0,5030
2017-09-01,56,0,13590
2017-09-01,57,0,27380
2017-09-01,58,0,5630
2017-09-01,59,0,111630
2017-09-01,60,0,19240
2017-09-01,61,0,7080
2017-09-01,62,0,56050
2017-09-01,63,0,15310
2017-09-01,64,0,14450
2017-09-01,65,0,5430
2017-09-01,66,0,21380
2017-09-01,67,0,26780
2017-09-01,68,0,15900
2017-09-01,69,0,45380
